FileName,Date,Site,SampleID,Researcher,Bag Time,Pump Time,End Time,Flowers,Buds,PumpID,VWC,Type,Biomass,Remarks
L_22D_July30_07312019.qgd,7/30/2019,L,22,LS,0.485416667,0.50625,0.516666667,1,2,JMP3,3.1,floral,0.01705,
L_23D_July30_07312019.qgd,7/30/2019,L,23,LS,0.466666667,0.4875,0.498611111,1,4,DRC3,3.2,floral,0.01374,
L_24_DJuly30_07312019.qgd,7/30/2019,L,24,LS,0.449305556,0.470138889,0.480555556,1,1,JMP1,3.9,floral,0.01134,
L_25D_July30_07312019.qgd,7/30/2019,L,25,LS,0.420833333,0.441666667,0.452083333,1,0,JMP1,3.4,floral,0.01072,
L_27D_July30_07312019.qgd,7/30/2019,L,27,LS,0.415277778,0.436111111,0.446527778,1,0,JMP3,2.5,floral,0.00888,
L_28D_July30_07312019.qgd,7/30/2019,L,28,LS,0.43125,0.452083333,0.4625,1,0,DRC3,5.4,floral,0.00902,
L_2057D_July30_07312019.qgd,7/30/2019,L,2057,JN,0.473611111,0.494444444,0.504861111,1,0,DRC8,2.7,floral,0.00438,
L_2060D_July30_852019_06.qgd,7/30/2019,L,2060,JN,0.458333333,0.479166667,0.489583333,1,1,DRC1,4.2,floral,0.01051,
L_2064D_July30_07312019.qgd,7/30/2019,L,2064,JN,0.443055556,0.463888889,0.474305556,1,0,DRC4,3.3,floral,0.00799,
L_2097D_July30_07312019.qgd,7/30/2019,L,2097,JN,0.498611111,0.519444444,0.529861111,1,0,DRC1,2.3,floral,0.00603,
L_2251D_July30_852019_03.qgd,7/30/2019,L,2251,KW,0.420138889,0.442361111,0.452777778,1,1,DRC7,4.3,floral,0.0144,
L_2252D_July30_852019_02.qgd,7/30/2019,L,2252,KW,0.429166667,0.452083333,0.4625,1,1,DRC5,2.2,floral,0.00824,
L_2254D_July30_07312019.qgd,7/30/2019,L,2254,KW,0.458333333,0.479166667,0.489583333,1,3,DRC5,4,floral,0.02592,
L_2259D_July30_07312019.qgd,7/30/2019,L,2259,KW,0.529166667,0.05,0.060416667,1,1,DRC9,3.7,floral,0.03489,Leaf
L_2260D_July30_07312019.qgd,7/30/2019,L,2260,KW,0.520833333,0.049305556,0.059722222,1,0,DRC5,2.5,floral,0.00457,changed pumps 1 minute into pumping
L_2261D_July30_07312019.qgd,7/30/2019,L,2261,LS,0.538888889,0.059722222,0.070138889,1,2,JMP1,2.5,floral,0.01506,
L_2262D_July30_07312019.qgd,7/30/2019,L,2262,LS,0.521527778,0.042361111,0.052777778,1,0,JMP3,5.2,floral,0.00644,"scent trap detached from bag, no idea when"
L_2263D_July30_07312019.qgd,7/30/2019,L,2263,LS,0.527083333,0.047916667,0.058333333,1,0,JMP1,5.5,floral,0.01043,coin envelope missing
L_2264D_July30_07312019.qgd,7/30/2019,L,2264,JN,0.502777778,0.523611111,0.534027778,1,0,DRC4,4.5,floral,0.00447,
L_2265D_July30_07312019.qgd,7/30/2019,L,2265,JN,0.41875,0.439583333,0.45,1,0,DRC8,1.9,floral,0.00642,
L_2266D_July30_07312019.qgd,7/30/2019,L,2266,JN,0.411805556,0.432638889,0.443055556,1,0,DRC1,2.9,floral,0.00756,
L_2269D_July30_852019_05.qgd,7/30/2019,L,2269,JN,0.448611111,0.469444444,0.479861111,1,0,DRC8,4.4,floral,0.00541,"with leaf, 0.01120"
L_2273D_July30_852019_04.qgd,7/30/2019,L,2273,JN,0.486805556,0.507638889,0.518055556,1,0,DRC1,4.2,floral,0.00738,
L_Air1_July30_07312019.qgd,7/30/2019,L,Air1,LS,0.411111111,0.431944444,0.442361111,,,DRC3,,ambient,,
L_Air2_July30_07312019.qgd,7/30/2019,L,Air2,JN,0.434722222,0.455555556,0.465972222,,,DRC1,3.8,ambient,,
L_Air3_July30_07312019.qgd,7/30/2019,L,Air3,LS,0.058333333,0.079166667,0.089583333,,,JMP1,,ambient,,
L_Blank1_07312019.qgd,,L,,,,,,,,,,blank,,
L_Blank2_07312019.qgd,,L,,,,,,,,,,blank,,
L_Blank3_852019_01.qgd,,L,,,,,,,,,,blank,,
VF_12AD_LS_July23_07292019.qgd,7/23/2019,VF,12A,LS,0.495833333,0.518055556,0.528472222,1,0,JMP3,1.4,floral,0.00743,
VF_12D_LS_July23_07292019.qgd,7/23/2019,VF,12,LS,0.44375,0.465972222,0.476388889,1,0,DRC3,1.4,floral,0.00547,"Overtime, redo VF12A"
VF_13D_KW_July23_07292019.qgd,7/23/2019,VF,13,KW,0.4375,0.454861111,0.465972222,1,0,CW1,1.5,floral,0.01154,
VF_14D_LS_July23_07292019.qgd,7/23/2019,VF,14,LS,0.459027778,0.479861111,0.490277778,1,0,JMP3,0,floral,0.00486,
VF_15D_KW_July23_07292019.qgd,7/23/2019,VF,15,KW,0.367361111,0.390277778,0.400694444,1,2,JMP1,4.3,floral,0.0211,
VF_16D_KW_July23_07292019.qgd,7/23/2019,VF,16,KW,0.374305556,0.395138889,0.405555556,1,0,CW1,1.9,floral,0.00716,Flower detached
VF_19D_KW_July23_07292019.qgd,7/23/2019,VF,19,KW,0.409722222,0.432638889,0.443055556,1,0,CW1,0.9,floral,0.01036,
VF_20D_KW_July23_07292019.qgd,7/23/2019,VF,20,KW,0.413194444,0.436111111,0.446527778,1,0,JMP1,0.1,floral,0.0119,
VF_21D_LS_July23_07292019.qgd,7/23/2019,VF,21,LS,0.364583333,0.385416667,0.396527778,1,0,JMP3,1.2,floral,0.00591,
VF_2D_LS_July23_07292019.qgd,7/23/2019,VF,2,LS,0.391666667,0.4125,0.422916667,1,0,JMP3,3.1,floral,0.013,
VF_3D_JN_July23_07292019.qgd,7/23/2019,VF,3,JN,0.364583333,0.385416667,0.395833333,1,0,JMP2,1.7,floral,0.00779,Flower detached (end of sampling)
VF_4D_JN_July23_07292019.qgd,7/23/2019,VF,4,JN,0.391666667,0.4125,0.422916667,1,0,JMP2,3,floral,0.00805,
VF_5D_LS_July23_07292019.qgd,7/23/2019,VF,5,LS,0.430555556,0.451388889,0.461805556,1,0,JMP3,1.1,floral,0.00647,Flower detached
VF_6D_LS_July23_07292019.qgd,7/23/2019,VF,6,LS,0.405555556,0.426388889,0.436805556,1,0,DRC3,3.4,floral,0.00674,
VF_7D_JN_July23_07292019.qgd,7/23/2019,VF,7,JN,0.427083333,0.447916667,0.458333333,1,0,DRC1,1,floral,0.00879,
VF_8D_JN_July23_07292019.qgd,7/23/2019,VF,8,JN,0.398611111,0.419444444,0.429861111,1,0,DRC1,0.4,floral,0.00764,
VF_9D_JN_July23_07292019.qgd,7/23/2019,VF,9,JN,0.411111111,0.431944444,0.442361111,1,0,JMP2,0,floral,0.00715,
VF_Ar1_JN_July23_07292019.qgd,7/23/2019,VF,Air1,JN,0.368055556,0.388888889,0.399305556,,,DRC1,,ambient,,
VF_Ar2_LS_July23_07292019.qgd,7/23/2019,VF,Air2,LS,0.367361111,0.388888889,0.399305556,,,DRC3,,ambient,,
VF_Ar3_KW_July23_07292019.qgd,7/23/2019,VF,Air3,KW,0.393055556,0.413888889,0.424305556,,,JMP1,,ambient,,Pump fell out
VF_Ar4_JN_July23_07292019.qgd,7/23/2019,VF,Air4,JN,0.438888889,0.459722222,0.470138889,,,JMP2,,ambient,,
VF_Ar5_LS_July23_07312019.qgd,7/23/2019,VF,Air5,LS,0.469444444,0.490277778,0.500694444,,,DRC3,,ambient,,
VF_Ar6_KW_July23_07292019.qgd,7/23/2019,VF,Air6,KW,0.451388889,0.472222222,0.482638889,,,JMP1,,ambient,,
VF_Blank_JP_07292019,,VF,,,,,,,,,,blank,,
