FileName,Sample,SampleDate,Specimen,Species,Pump#,VWC (%),Height (cm),Biomass,Flowers,Buds,Notes,Type,Year,Notes
HC_27_190628_Paul_792019_07.qgd,27,6/28/2019,HyCa,Hydrophyllum capitatum,JMP3,15.7,13,0.43695,51,0,,floral,2019,
HC_28_190628_Paul_792019_08.qgd,28,6/28/2019,HyCa,Hydrophyllum capitatum,DRC3,12.6,7,0.21693,20,0,,floral,2019,
MF_29_190628_Paul_792019_09.qgd,29,6/28/2019,MeFu,Mertensia fusiformis,DRC1,32.6,10,0.3075,13,0,,floral,2019,
MF_30_190628_Paul_792019_10.qgd,30,6/28/2019,MeFu,Mertensia fusiformis,JMP1,14,13,0.02427,7,0,,floral,2019,
MR_31_190627_Paul_792019_12.qgd,31,6/28/2019,MaRe,Mahonia repens,JMP3,4.8,9,0.1559,17,4,Ant,floral,2019,
MR_32_190627_Paul_792019_13.qgd,32,6/28/2019,MaRe,Mahonia repens,JMP2,3.2,5,0.06835,11,0,,floral,2019,
Air_33_190628_Paul_792019_14.qgd,33,6/28/2019,Air,,DRC3,,,,,,,ambient,2019,
Air_34_190702_Paul_792019_15.qgd,34,7/2/2019,Air,,JMP3,,,,,,,ambient,2019,
DA_35_190702_Paul_792019_16.qgd,35,7/2/2019,DrAu,Draba aurea,DRC3,21,34,0.05508,14,6,,floral,2019,
DA_36_190702_Paul_792019_20.qgd,36,7/2/2019,DrAu,Draba aurea,JMP2,20.7,32,0.04378,13,12,,floral,2019,
DA_37_190702_Paul_792019_18.qgd,37,7/2/2019,DrAu,Draba aurea,DRC1,19.9,25,0.04489,10,12,,floral,2019,
AA_38_190702_Paul_792019_19.qgd,38,7/2/2019,AmAl,Amelanchier alnifolia,DRC3,2.2,34,0.08895,4,0,,floral,2019,
AA_39_190702_Paul_792019_20.qgd,39,7/2/2019,AmAl,Amelanchier alnifolia,JMP3,1.7,31,0.04959,5,0,,floral,2019,
Air_40_190702_Paul_792019_20.qgd,40,7/2/2019,Air,,JMP2,,,,,,,ambient,2019,
Air_41_190703_Paul_792019_03.qgd,41,7/3/2019,Air,,JMP3,,,,,,,ambient,2019,
FS_42_190703_Paul_792019_04.qgd,42,7/3/2019,FrSp,Frasera speciosa,JMP1,14.3,120,0.14157,1,0,,floral,2019,
FS_43_190703_Paul_792019_05.qgd,43,7/3/2019,FrSp,Frasera speciosa,JMP2,10.1,136,0.15848,1,0,,floral,2019,
MR_44_190703_Paul_792019_06.qgd,44,7/3/2019,MaRe,Mahonia repens,DRC1,0.1,8,0.24963,21,3,,floral,2019,
LD_45_190703_Paul_792019_07.qgd,45,7/3/2019,LoDi,Lomatium dissectum,DRC3,5.3,51,0.17414,113,0,,floral,2019,
Air_46_190703_Paul_792019_08.qgd,46,7/3/2019,Air,,DRC3,,,,,,,ambient,2019,
Air_47_190709_Paul_792019_09.qgd,47,7/9/2019,Air,,JMP3,,,,,,,ambient,2019,
EU_48_190709_Paul_792019_10.qgd,48,7/9/2019,ErUm,Eriogonum umbellatum,JMP2,1.2,16,0.10932,23,28,,floral,2019,
EU_49_190709_Paul_792019_12.qgd,49,7/9/2019,ErUm,Eriogonum umbellatum,JMP1,1.1,18,0.11984,18,63,,floral,2019,
LL_50_190709_Paul_792019_13.qgd,50,7/9/2019,LaLl,Lathyrus lanszwartii,DRC1,2.4,19,0.14839,6,0,,floral,2019,
LL_51_190709_Paul_792019_14.qgd,51,7/9/2019,LaLl,Lathyrus lanszwartii,DRC3,2.4,10,0.04965,4,0,,floral,2019,
LL_52_190709_Paul_792019_15.qgd,52,7/9/2019,LaLl,Lathyrus lanszwartii,JMP1,2.3,18,0.06432,3,0,,floral,2019,
LL_53_190709_Paul_7102019_03.qgd,53,7/9/2019,LaLl,Lathyrus lanszwartii,JMP2,2.3,14,0.04929,3,0,,floral,2019,
EU_54_190709_Paul_792019_16.qgd,54,7/9/2019,ErUm,Eriogonum umbellatum,JMP3,1.3,22,0.18224,29,41,,floral,2019,
FV_55_190709_Paul_792019_18.qgd,55,7/9/2019,FrVi,Fragaria virginiana,DRC1,1.7,4,0.03151,1,2,,floral,2019,
Air_56_190709_Paul_792019_19.qgd,56,7/9/2019,Air,,JMP2,,,,,,,ambient,2019,
Air_57_1907015_Paul_7162019_02.qgd,57,7/15/2019,Air,,DRC3,,,,,,,ambient,2019,
EU_58_1907015_Paul_7162019_03.qgd,58,7/15/2019,ErUm,Eriogonum umbellatum,JMP3,0,11,0.15214,62,83,,floral,2019,
EU_59_1907015_Paul_7162019_04.qgd,59,7/15/2019,ErUm,Eriogonum umbellatum,JMP2,0,12,0.27528,109,32,,floral,2019,
AC_60_1907015_Paul_7162019_05.qgd,60,7/15/2019,ArCo,Arenaria congesta,JMP1,0,23,0.08906,9,16,,floral,2019,
AC_61_1907015_Paul_7162019_06.qgd,61,7/15/2019,ArCo,Arenaria congesta,DRC1,0,19,0.04877,7,12,,floral,2019,
AC_62_1907015_Pau_7162019_08.qgd,62,7/15/2019,ArCo,Arenaria congesta,DRC3,0,26,0.19194,18,45,,floral,2019,
AC_63_1907015_Paul_7162019_09.qgd,63,7/15/2019,ArCo,Arenaria congesta,JMP3,0,23,0.03935,5,8,,floral,2019,
PH_64_1907015_Paul_7162019_10.qgd,64,7/15/2019,PoHi,Potentilla hippiana,JMP2,0.2,17,0.1299,2,9,,floral,2019,
VA_65_1907015_Paul_7162019_11.qgd,65,7/15/2019,ViAm,Vicia americana,JMP1,0,18,0.04567,6,0,,floral,2019,
VA_66_1907015_Paul_7162019_12.qgd,66,7/15/2019,ViAm,Vicia americana,DRC1,0.8,26,0.02755,4,0,thrips,floral,2019,
Air_67_1907015_Paul_7162019_13.qgd,67,7/15/2019,Air,,DRC3,,,,,,,ambient,2019,
AM_92_190722_Paul_842019_02.qgd,92,43668,AcMi,Achillea millefolium,DRC3,0,39,0.17114,31,0,,floral,2019,
AM_93_190722_Paul_842019_03.qgd,93,43668,AcMi,Achillea millefolium,DRC1,0,29,0.21177,47,8,,floral,2019,
Air_94_190722_Paul_842019_04.qgd,94,43668,Air,,JMP1,,,,,,,ambient,2019,
Air_95_190725_Paul_842019_05.qgd,95,43671,Air,,JMP2,,,,,,,ambient,2019,
SL_96_190725_Paul_842019_06.qgd,96,43671,SeLa,Sedum lanceolatum,DRC1,0,10,0.11808,4,4,,floral,2019,
SL_97_190725_Paul_842019_07.qgd,97,43671,SeLa,Sedum lanceolatum,JMP3,0,12,0.09534,11,6,,floral,2019,
SL_98_190725_Paul_842019_08.qgd,98,43671,SeLa,Sedum lanceolatum,DRC3,0,7,0.00551,1,0,,floral,2019,
SL_99_190725_Paul_842019_09.qgd,99,43671,SeLa,Sedum lanceolatum,JMP1,0,15,0.05799,6,6,,floral,2019,
HV_100_190725_Paul_842019_10.qgd,100,43671,HeVi,Heterotheca villosa,JMP2,0.8,20,0.10165,2,0,,floral,2019,
HV_101_190725_Paul_842019_11.qgd,101,43671,HeVi,Heterotheca villosa,JMP1,0,24,0.05117,1,0,,floral,2019,
HV_102_190725_Paul_842019_12.qgd,102,43671,HeVi,Heterotheca villosa,DRC3,0,21,0.06601,1,0,,floral,2019,
HV_103_190725_Paul_842019_13.qgd,103,43671,HeVi,Heterotheca villosa,DRC1,0,18,0.05325,1,0,,floral,2019,
Air_104_190725_Paul_842019_14.qgd,104,43671,Air,,JMP3,,,,,,,ambient,2019,
Air_105_190729_Paul_842019_15.qgd,105,43675,Air,,DRC1,,,,,,,ambient,2019,
MC_106_190729_Paul_842019_16.qgd,106,43675,MeCi,Mertensia ciliata,DRC3,23.3,90,0.06047,8,5,,floral,2019,
MC_107_190729_Paul_842019_17.qgd,107,43675,MeCi,Mertensia ciliata,JMP1,14.9,79,0.06121,5,6,,floral,2019,
MC_108_190729_Paul_842019_18.qgd,108,43675,MeCi,Mertensia ciliata,JMP3,6.7,70,0.02436,7,1,,floral,2019,
DG_109_190729_Paul_842019_19.qgd,109,43675,DeBa,Delphinium barbeyii,JMP2,7.9,125,0.08999,3,0,,floral,2019,
Air_110_190729_Paul_842019_20.qgd,110,43675,Air,,DRC1,,,,,,,ambient,2019,
AqC_111_190729_Paul_842019_21.qgd,111,43675,AqCa,Aquilegia caerulea,JMP3,4.8,77,0.10927,1,0,,floral,2019,
Blank_1_792019_02.qgd,,,,,,,,,,,,blank,2019,remove
Blank_2a_792019_11.qgd,,,,,,,,,,,,blank,2019,remove
Blank_2b_792019_12.qgd,,,,,,,,,,,,blank,2019,remove
Blank_2_782019_15.qgd,,,,,,,,,,,,blank,2019,remove
Blank_3a_190627_Paul_782019_22.qgd,,,,,,,,,,,,blank,2019,remove
Blank_3b_6282019_21.qgd,,,,,,,,,,,,blank,2019,remove
Blank_3c_732019_22.qgd,,,,,,,,,,,,blank,2019,remove
Blank_3d_782019_23.qgd,,,,,,,,,,,,blank,2019,remove
Blank_3_6252019_20.qgd,,,,,,,,,,,,blank,2019,remove
Blank_4_792019_21.qgd,,,,,,,,,,,,blank,2019,remove
Blank_5a_1907015_Paul_7162019_07.qgd,,,,,,,,,,,,blank,2019,remove
Blank_5b_1907015_Paul_7162019_14.qgd,,,,,,,,,,,,blank,2019,remove
Blank_5_190715_Paul_7162019_01.qgd,,,,,,,,,,,,blank,2019,remove
Blank_8_Paul_842019_01.qgd,,,,,,,,,,,,blank,2019,remove
Blank_9_Paul_842019_22.qgd,,,,,,,,,,,,blank,2019,remove
