"site","who","transect","segment","specimen_number","gross_ID","plant","notes","insect_order","insect_family","insect_subfamily","insect_genus","insect_species","fine_ID","date","year","captured","finest_ID","drought"
"Gothic Town","LAT","P3",8,15023,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P3",8,15024,"Other fly","Potentilla pulcherrima","","Diptera","Syrphidae","Eristalinae","Cheilosia","","Cheilosia","2016-07-06",2016,"True","Cheilosia","non-drought"
"Gothic Town","LAT","P3",1,15025,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P1",7,15026,"Other fly","Ligusticum porteri","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P1",7,15027,"Other fly","Ligusticum porteri","","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-06",2016,"True","Symphoromyia","non-drought"
"Gothic Town","DRM","P7",8,15055,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","DRM","P5",2,15056,"Hemiptera","Boechera stricta","","Hemiptera",NA,"","","","Pterophoridae","2016-07-06",2016,"True","Pterophoridae","non-drought"
"Gothic Town","DRM","P5",2,15057,"Orthopteran","Grass","Discount?","Orthoptera",NA,"","","","Miridae","2016-07-06",2016,"True","Miridae","non-drought"
"Gothic Town","DRM","P5",3,15058,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","DRM","P1",2,15059,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","DRM","P1",2,15060,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","","2016-07-06",2016,"True","Other fly","non-drought"
"Gothic Town","DRM","P7",7,15061,"Other fly","Hydrophyllum fendleri","Caught 3 in 1 sweep; unsure which on flower","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","DRM","P7",7,15062,"Other fly","Hydrophyllum fendleri","Caught 3 in 1 sweep; unsure which on flower","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-06",2016,"True","Symphoromyia","non-drought"
"Gothic Town","DRM","P7",7,15063,"Other fly","Hydrophyllum fendleri","Caught 3 in 1 sweep; unsure which on flower","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-06",2016,"True","Symphoromyia","non-drought"
"Gothic Town","DRM","P1",1,15064,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","DRM","P1",1,15065,"Other fly","Linum lewisii","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","DRM","P1",1,15066,"Other fly","Potentilla pulcherrima","","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-06",2016,"True","Symphoromyia","non-drought"
"Gothic Town","DRM","P1",1,15067,"Wasps","Ligusticum porteri","Caught both in 1 sweep; both on flower","Hymenoptera",NA,"","","","Acalyptrates 3","2016-07-06",2016,"True","Acalyptrates 3","non-drought"
"Gothic Town","DRM","P1",1,15068,"Other fly","Ligusticum porteri","Caught both in 1 sweep; both on flower","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","DRM","P5",7,15069,"Hemiptera","Potentilla pulcherrima","","Hemiptera",NA,"","","","Cicadellidae","2016-07-06",2016,"True","Cicadellidae","non-drought"
"Gothic Town","DRM","P5",7,15070,"Hemiptera","Potentilla pulcherrima","","Hemiptera",NA,"","","","","2016-07-06",2016,"True","Hemiptera","non-drought"
"Gothic Town","DRM","P5",7,15071,"Other fly","Potentilla pulcherrima","","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-06",2016,"True","Symphoromyia","non-drought"
"Gothic Town","DRM","P5",7,15072,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","","2016-07-06",2016,"True","Other fly","non-drought"
"Gothic Town","DRM","P5",7,15073,"Other fly","Mertensia ciliata","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","DRM","P5",7,15074,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","BB","P3",9,15101,"Other fly","Linum lewisii","1 fly visiting; 2 captured in vial","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","BB","P3",9,15102,"Other fly","Linum lewisii","2 other flies both in B2, unclear which one corresponds to the data sheet, both pinned on the same specimen label","Diptera",NA,"","","","","2016-07-06",2016,"True","Other fly","non-drought"
"Gothic Town","BB","P3",9,15103,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","BB","P3",9,15104,"Other fly","Linum lewisii","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","BB","P5",3,15105,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","BB","P5",3,15106,"Other fly","Linum lewisii","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","BB","P1",5,15107,"Small black solitary bee","Potentilla pulcherrima","Probably same individual as above","Hymenoptera","Andrenidae","Panurginae","Panurginus","cressoniellus","Panurginus cressoniellus","2016-07-06",2016,"True","Panurginus cressoniellus","non-drought"
"Gothic Town","BB","P7",3,15108,"Other fly","Linum lewisii","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","BB","P7",3,15109,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","BB","P7",3,15110,"Other fly","Linum lewisii","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","BB","P3",3,15111,"Other fly","Linum lewisii","Same vial as below","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","BB","P3",3,15112,"Other fly","Linum lewisii","Same vial as above","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","BB","P3",3,15113,"Small black solitary bee","Linum lewisii","","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","2016-07-06",2016,"True","Lasioglossum","non-drought"
"Gothic Town","BB","P3",3,15114,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","BB","P3",3,15115,"Other fly","Linum lewisii","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","BB","P3",3,15116,"Other fly","Linum lewisii","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","BB","P3",3,15117,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","BB","P3",3,15118,"Other fly","Linum lewisii","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","BB","P3",10,15119,"Other fly","Linum lewisii","","Diptera",NA,"","","","Hadromyia","2016-07-06",2016,"True","Hadromyia","non-drought"
"Gothic Town","BB","P5",6,15120,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","BB","P1",8,15121,"Other fly","Potentilla pulcherrima","Same vial as below","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","BB","P1",8,15122,"Other fly","Potentilla pulcherrima","Same vial as above, SPECIMEN MISSING","Diptera",NA,"","","","","2016-07-06",2016,"True","Other fly","non-drought"
"Gothic Town","BB","P1",8,15123,"Other fly","Valeriana edulis","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","BB","P1",8,15124,"Small black solitary bee","Potentilla pulcherrima","Same individual as above?","Hymenoptera","Andrenidae","Panurginae","Panurginus","cressoniellus","Panurginus cressoniellus","2016-07-06",2016,"True","Panurginus cressoniellus","non-drought"
"Gothic Town","BB","P1",8,15125,"Small black solitary bee","Potentilla pulcherrima","","Hymenoptera","Andrenidae","Panurginae","Panurginus","cressoniellus","Panurginus cressoniellus","2016-07-06",2016,"True","Panurginus cressoniellus","non-drought"
"Gothic Town","ASM","P5",10,15132,"Other fly","Potentilla pulcherrima","","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-06",2016,"True","Symphoromyia","non-drought"
"Gothic Town","ASM","P3",1,15133,"Other fly","Potentilla pulcherrima","Many more flies on L. lewisii flowers","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15134,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15135,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15136,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15137,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15138,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15139,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15140,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15141,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15142,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15143,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15144,"Other fly","Linum lewisii","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P3",1,15145,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15146,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15147,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15148,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",1,15149,"Other fly","Linum lewisii","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P3",1,15150,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P7",10,15151,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P7",10,15152,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P7",10,15153,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P7",4,15154,"Other fly","Linum lewisii","","Diptera",NA,"","","","Therevidae","2016-07-06",2016,"True","Therevidae","non-drought"
"Gothic Town","ASM","P7",4,15155,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",6,15156,"Other fly","Ligusticum porteri","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",6,15157,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P3",6,15158,"Other fly","Ligusticum porteri","Xylophagidae (?)","Diptera",NA,"","","","","2016-07-06",2016,"True","Other fly","non-drought"
"Gothic Town","ASM","P3",6,15159,"Other fly","Ligusticum porteri","prev. Hybotidae 2","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","ASM","P1",3,15160,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P1",3,15161,"Other fly","Potentilla pulcherrima","","Diptera","Heleomyzidae","Heleomyzinae","Anorostoma","jersei","Anorostoma jersei","2016-07-06",2016,"True","Anorostoma jersei","non-drought"
"Gothic Town","ASM","P1",3,15162,"Other fly","Potentilla pulcherrima","2 specimens both flies from A29, both on same specimen label 15162","Diptera",NA,"","","","","2016-07-06",2016,"True","Other fly","non-drought"
"Gothic Town","ASM","P1",3,15163,"Small black solitary bee","Potentilla pulcherrima","","Hymenoptera","Andrenidae","Panurginae","Panurginus","cressoniellus","Panurginus cressoniellus","2016-07-06",2016,"True","Panurginus cressoniellus","non-drought"
"Gothic Town","ASM","P7",1,15164,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Cryptochetidae","2016-07-06",2016,"True","Cryptochetidae","non-drought"
"Gothic Town","ASM","P7",1,15165,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P1",9,15166,"Small black solitary bee","Potentilla pulcherrima","Hemipteran also in jar, but not on flower","Hymenoptera","Andrenidae","Panurginae","Panurginus","cressoniellus","Panurginus cressoniellus","2016-07-06",2016,"True","Panurginus cressoniellus","non-drought"
"Gothic Town","ASM","P1",9,15167,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P1",9,15168,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","ASM","P3",7,15169,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Therevidae","2016-07-06",2016,"True","Therevidae","non-drought"
"Gothic Town","ASM","P3",7,15170,"Small black solitary bee","Potentilla pulcherrima","prev. Halictus ligatus","Hymenoptera","Halictidae","Halictinae","Halictus","virgatellus","Halictus virgatellus","2016-07-06",2016,"True","Halictus virgatellus","non-drought"
"Gothic Town","ASM","P3",7,15171,"Other fly","Potentilla pulcherrima","","Diptera","Sciomyzidae","","","","Sciomyzidae","2016-07-06",2016,"True","Sciomyzidae","non-drought"
"Gothic Town","ASM","P3",7,15172,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Braconidae","2016-07-06",2016,"True","Braconidae","non-drought"
"Gothic Town","ASM","P3",7,15173,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",7,15174,"Other fly","Potentilla pulcherrima","","Diptera","Syrphidae","Eristalinae","Cheilosia","","Cheilosia","2016-07-06",2016,"True","Cheilosia","non-drought"
"Gothic Town","ASM","P3",7,15175,"Other fly","Potentilla pulcherrima","","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-06",2016,"True","Symphoromyia","non-drought"
"Gothic Town","ASM","P3",7,15176,"Other fly","Potentilla pulcherrima","Larger fly in vial","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","ASM","P3",7,15177,"Wasps","Potentilla pulcherrima","","Hymenoptera",NA,"","","","Eurytomidae","2016-07-06",2016,"True","Eurytomidae","non-drought"
"Gothic Town","ASM","P3",7,15178,"Small black solitary bee","Potentilla pulcherrima","","Hymenoptera","Andrenidae","Panurginae","Panurginus","cressoniellus","Panurginus cressoniellus","2016-07-06",2016,"True","Panurginus cressoniellus","non-drought"
"Gothic Town","ASM","P3",7,15179,"Other fly","Potentilla pulcherrima","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Virginia Basin","LAT","P5",9,15190,"Other fly","Draba aurea","","Diptera",NA,"","","","","2016-07-07",2016,"True","Other fly","non-drought"
"Virginia Basin","LAT","P1",10,15195,"Other fly","Draba aurea","","Diptera","Syrphidae","Eristalinae","Cheilosia","","Cheilosia","2016-07-07",2016,"True","Cheilosia","non-drought"
"Virginia Basin","LAT","P7",6,15196,"Other fly","Pseudocymopterus montanus","","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","2016-07-07",2016,"True","Phaonia","non-drought"
"Virginia Basin","LAT","P7",6,15197,"Other fly","Pseudocymopterus montanus","","Diptera","Empididae","","","","Empididae","2016-07-07",2016,"True","Empididae","non-drought"
"Virginia Basin","LAT","P7",6,15198,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","2016-07-07",2016,"True","Phaonia","non-drought"
"Virginia Basin","LAT","P7",6,15199,"Other fly","Pseudocymopterus montanus","","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","2016-07-07",2016,"True","Phaonia","non-drought"
"Virginia Basin","LAT","P7",6,15200,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-07",2016,"True","Drymeia/Hydrotaea","non-drought"
"Virginia Basin","LAT","P7",1,15201,"Small black solitary bee","Fragaria virginiana","","Hymenoptera","Andrenidae","Panurginae","Panurginus","ineptus","Panurginus ineptus","2016-07-07",2016,"True","Panurginus ineptus","non-drought"
"Virginia Basin","LAT","P1",8,15203,"Other fly","Ligusticum porteri","","Diptera","Syrphidae","Eristalinae","Hiatomyia","","Hiatomyia","2016-07-07",2016,"True","Hiatomyia","non-drought"
"Virginia Basin","LAT","P1",8,15204,"Other fly","Ligusticum porteri","","Diptera","Syrphidae","Eristalinae","Hiatomyia","","Hiatomyia","2016-07-07",2016,"True","Hiatomyia","non-drought"
"Virginia Basin","LAT","P1",8,15205,"Hemiptera","Ligusticum porteri","Accidental catch with flies","Hemiptera",NA,"","","","Hemiptera","2016-07-07",2016,"True","Hemiptera","non-drought"
"Virginia Basin","RK","P1",9,15206,"Other fly","Ligusticum porteri","","Diptera","Muscidae","Azeliinae","Thricops","septentrionalis","Thricops","2016-07-07",2016,"True","Thricops","non-drought"
"Virginia Basin","RK","P1",9,15207,"Other fly","Draba aurea","","Diptera",NA,"","","","","2016-07-07",2016,"True","Other fly","non-drought"
"Virginia Basin","RK","P1",9,15208,"Other fly","Draba aurea","","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-07",2016,"True","Symphoromyia","non-drought"
"Virginia Basin","RK","P5",2,15209,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","2016-07-07",2016,"True","Phaonia","non-drought"
"Virginia Basin","RK","P5",2,15210,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-07",2016,"True","Drymeia/Hydrotaea","non-drought"
"Virginia Basin","RK","P5",2,15211,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-07",2016,"True","Drymeia/Hydrotaea","non-drought"
"Virginia Basin","RK","P5",2,15212,"Other fly","Pseudocymopterus montanus","","Diptera",NA,"","","","","2016-07-07",2016,"True","Other fly","non-drought"
"Virginia Basin","RK","P5",2,15213,"Other fly","Pseudocymopterus montanus","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-07",2016,"True","Thricops","non-drought"
"Virginia Basin","RK","P5",2,15214,"Other fly","Potentilla pulcherrima","","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-07",2016,"True","Symphoromyia","non-drought"
"Virginia Basin","RK","P5",2,15215,"Other fly","Pseudocymopterus montanus","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-07",2016,"True","Drymeia/Hydrotaea","non-drought"
"Virginia Basin","RK","P5",2,15216,"Other fly","Pseudocymopterus montanus","","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","2016-07-07",2016,"True","Phaonia","non-drought"
"Virginia Basin","RK","P1",1,15217,"Other fly","Fragaria virginiana","","Diptera","Rhagionidae","Rhagioninae","Symphoromyia","","Symphoromyia","2016-07-07",2016,"True","Symphoromyia","non-drought"
"Virginia Basin","RK","P5",3,15218,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-07",2016,"True","Drymeia/Hydrotaea","non-drought"
"Virginia Basin","RK","P5",3,15219,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","2016-07-07",2016,"True","Phaonia","non-drought"
